Time resolution is 1 ps
[ENCAP STATE] Time: 261885000 | State changed to: 14
[ENCAP STATE] Time: 261895000 | State changed to: 15
[ENCAP STATE] Time: 261925000 | State changed to: 14
[ENCAP STATE] Time: 261935000 | State changed to: 15
[ENCAP STATE] Time: 261965000 | State changed to: 14
[ENCAP STATE] Time: 261975000 | State changed to: 15
[ENCAP STATE] Time: 262005000 | State changed to: 14
[ENCAP STATE] Time: 262015000 | State changed to: 15
[ENCAP STATE] Time: 262045000 | State changed to: 14
[ENCAP STATE] Time: 262055000 | State changed to: 15
[ENCAP STATE] Time: 262085000 | State changed to: 14
[ENCAP STATE] Time: 262095000 | State changed to: 15
[ENCAP STATE] Time: 262125000 | State changed to: 14
[ENCAP STATE] Time: 262135000 | State changed to: 15
[ENCAP STATE] Time: 262165000 | State changed to: 14
[ENCAP STATE] Time: 262175000 | State changed to: 15
[ENCAP STATE] Time: 262205000 | State changed to: 14
[ENCAP STATE] Time: 262215000 | State changed to: 16
[ENCAP STATE] Time: 262225000 | State changed to: 15
[ENCAP STATE] Time: 262255000 | State changed to: 14
[ENCAP STATE] Time: 262265000 | State changed to: 15
[ENCAP STATE] Time: 262295000 | State changed to: 14
[ENCAP STATE] Time: 262305000 | State changed to: 15
[ENCAP STATE] Time: 262335000 | State changed to: 14
[ENCAP STATE] Time: 262345000 | State changed to: 15
[ENCAP STATE] Time: 262375000 | State changed to: 14
[ENCAP STATE] Time: 262385000 | State changed to: 15
[ENCAP STATE] Time: 262415000 | State changed to: 14
[ENCAP STATE] Time: 262425000 | State changed to: 15
[ENCAP STATE] Time: 262455000 | State changed to: 14
[ENCAP STATE] Time: 262465000 | State changed to: 15
[ENCAP STATE] Time: 262495000 | State changed to: 14
[ENCAP STATE] Time: 262505000 | State changed to: 15
[ENCAP STATE] Time: 262535000 | State changed to: 14
[ENCAP STATE] Time: 262545000 | State changed to: 15
[ENCAP STATE] Time: 262565000 | State changed to: 16
[ENCAP STATE] Time: 262575000 | State changed to: 15
[ENCAP STATE] Time: 262585000 | State changed to: 14
[ENCAP STATE] Time: 262595000 | State changed to: 15
[ENCAP STATE] Time: 262625000 | State changed to: 14
[ENCAP STATE] Time: 262635000 | State changed to: 15
[ENCAP STATE] Time: 262665000 | State changed to: 14
[ENCAP STATE] Time: 262675000 | State changed to: 15
[ENCAP STATE] Time: 262705000 | State changed to: 14
[ENCAP STATE] Time: 262715000 | State changed to: 15
[ENCAP STATE] Time: 262745000 | State changed to: 14
[ENCAP STATE] Time: 262755000 | State changed to: 15
[ENCAP STATE] Time: 262785000 | State changed to: 14
[ENCAP STATE] Time: 262795000 | State changed to: 15
[ENCAP STATE] Time: 262825000 | State changed to: 14
[ENCAP STATE] Time: 262835000 | State changed to: 15
[ENCAP STATE] Time: 262865000 | State changed to: 14
[ENCAP STATE] Time: 262875000 | State changed to: 15
[ENCAP STATE] Time: 262905000 | State changed to: 14
[ENCAP STATE] Time: 262915000 | State changed to: 16
[ENCAP STATE] Time: 262925000 | State changed to: 15
[ENCAP STATE] Time: 262955000 | State changed to: 14
[ENCAP STATE] Time: 262965000 | State changed to: 15
[ENCAP STATE] Time: 262995000 | State changed to: 14
[ENCAP STATE] Time: 263005000 | State changed to: 15
[ENCAP STATE] Time: 263035000 | State changed to: 14
[ENCAP STATE] Time: 263045000 | State changed to: 20
[ENCAP STATE] Time: 263055000 | State changed to: 17
[ENCAP STATE] Time: 263065000 | State changed to: 18
